"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"67",67,67,"DEJU_001-O-2-34.5-20180619","2018-06-19 19:09:00","DEJU_001-O-2-34.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-O","DEJU_001","O",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"68",68,68,"DEJU_001-O-20.5-37.5-20180619","2018-06-19 20:04:00","DEJU_001-O-20.5-37.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-O","DEJU_001","O",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"69",69,69,"DEJU_001-O-24.5-6.5-20180619","2018-06-19 20:48:00","DEJU_001-O-24.5-6.5",NA,NA,NA,NA,NA,"DEJU","DEJU_001-O","DEJU_001","O",NA,1.173125,1.173125,10000,3e+05,351937.5,NA,NA,NA,NA
"70",70,70,"DEJU_002-M-12.5-31-20180619","2018-06-19 20:36:00","DEJU_002-M-12.5-31",0.087,0,0.087,0.112,0.108,"DEJU","DEJU_002-M","DEJU_002","M",NA,1.173125,1.173125,10000,3e+05,351937.5,30618.5625,306185625,306.185625,0.306185625
"71",71,71,"DEJU_002-M-21-20230629","2023-06-29 17:47:00","DEJU_002-M-21-peakGreenness-2023",0.619,0.94,1.559,-0.028,-0.018,"DEJU","DEJU_002-M","DEJU_002","M",NA,1.173125,1.173125,10000,3e+05,351937.5,548670.5625,5486705625,5486.705625,5.486705625
"72",72,72,"DEJU_002-M-21.5-30-20180619","2018-06-19 21:14:00","DEJU_002-M-21.5-30",0,2.515,2.515,-0.081,-0.11,"DEJU","DEJU_002-M","DEJU_002","M",NA,1.173125,1.173125,10000,3e+05,351937.5,885122.8125,8851228125,8851.228125,8.851228125
"73",73,73,"DEJU_002-M-23-20230629","2023-06-29 18:21:00","DEJU_002-M-23-peakGreenness-2023",0.503,1.214,1.717,0,-0.031,"DEJU","DEJU_002-M","DEJU_002","M",NA,1.173125,1.173125,10000,3e+05,351937.5,604276.6875,6042766875,6042.766875,6.042766875
"74",74,74,"DEJU_002-M-39-20230629","2023-06-29 16:48:00","DEJU_002-M-39-peakGreenness-2023",0.34,0.447,0.787,0.002,0.004,"DEJU","DEJU_002-M","DEJU_002","M",NA,1.173125,1.173125,10000,3e+05,351937.5,276974.8125,2769748125,2769.748125,2.769748125
"75",75,75,"DEJU_002-O-12.5-31-20180619","2018-06-19 20:14:00","DEJU_002-O-12.5-31",0.624,0.589,1.213,-0.01,-0.006,"DEJU","DEJU_002-O","DEJU_002","O",NA,1.173125,1.173125,10000,3e+05,351937.5,426900.1875,4269001875,4269.001875,4.269001875
"76",76,76,"DEJU_002-O-21.5-30-20180619","2018-06-19 21:08:00","DEJU_002-O-21.5-30",1.851,0.091,1.942,NA,NA,"DEJU","DEJU_002-O","DEJU_002","O",NA,1.173125,1.173125,10000,3e+05,351937.5,683462.625,6834626250,6834.62625,6.83462625
"77",77,77,"DEJU_002-O-39-20230629","2023-06-29 16:39:00","DEJU_002-O-39-peakGreenness-2023",1.269,1.49,2.759,-0.011,-0.036,"DEJU","DEJU_002-O","DEJU_002","O",NA,1.173125,1.173125,10000,3e+05,351937.5,970995.5625,9709955625,9709.955625,9.709955625
"78",78,78,"DEJU_002-O-9-18-20180619","2018-06-19 21:52:00","DEJU_002-O-9-18",0.94,0.929,1.869,-0.003,-0.028,"DEJU","DEJU_002-O","DEJU_002","O",NA,1.173125,1.173125,10000,3e+05,351937.5,657771.1875,6577711875,6577.711875,6.577711875
"79",79,79,"DEJU_006-M-2.5-37.5-20180618","2018-06-18 16:55:00","DEJU_006-M-2.5-37.5",0.507,0.019,0.526,0.084,0.019,"DEJU","DEJU_006-M","DEJU_006","M",NA,1.173125,1.173125,10000,3e+05,351937.5,185119.125,1851191250,1851.19125,1.85119125
"80",80,80,"DEJU_006-M-21-20230628","2023-06-28 22:59:00","DEJU_006-M-21-peakGreenness-2023",1.627,0.528,2.154,NA,NA,"DEJU","DEJU_006-M","DEJU_006","M",NA,1.173125,1.173125,10000,3e+05,351937.5,758073.375,7580733750,7580.73375,7.58073375
"81",81,81,"DEJU_006-M-25-32.5-20180618","2018-06-18 15:59:00","DEJU_006-M-25-32.5",1.114,0.104,1.218,NA,NA,"DEJU","DEJU_006-M","DEJU_006","M",NA,1.173125,1.173125,10000,3e+05,351937.5,428659.875,4286598750,4286.59875,4.28659875
"82",82,82,"DEJU_006-M-39-20230628","2023-06-29 01:21:00","DEJU_006-M-39-peakGreenness-2023",0.461,0.201,0.662,NA,NA,"DEJU","DEJU_006-M","DEJU_006","M",NA,1.173125,1.173125,10000,3e+05,351937.5,232982.625,2329826250,2329.82625,2.32982625
"83",83,83,"DEJU_006-M-39.5-1.5-20180618","2018-06-18 17:35:00","DEJU_006-M-39.5-1.5",1.847,0.594,2.441,-0.067,-0.004,"DEJU","DEJU_006-M","DEJU_006","M",NA,1.173125,1.173125,10000,3e+05,351937.5,859079.4375,8590794375,8590.794375,8.590794375
